"event.id","visible","timestamp","location.long","location.lat","external.temperature","gps.fix.type.raw","gps.hdop","gps.satellite.count","gps.time.to.fix","gps.vdop","habitat","tag.voltage","sensor.type","individual.taxon.canonical.name","tag.local.identifier","individual.local.identifier","study.name"
9308405571,"true","2016-05-03 14:32:00.000",105.061506,11.197803,33.38,"2D",3.2,3,120,0,"Flying",3320,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405572,"true","2016-05-03 15:01:04.000",105.060786,11.186667,32.27,"3D",1.8,5,64,0,"Flying",3410,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405573,"true","2016-05-03 15:31:20.000",105.060153,11.185744,32.79,"3D",0.9,9,80,0,"Natural",3410,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405574,"true","2016-05-03 16:01:04.000",105.060161,11.185731,31.81,"3D",0.9,9,64,0,"Natural",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405575,"true","2016-05-03 16:31:03.000",105.059986,11.186322,32.53,"3D",0.9,8,63,0,"Flying",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405576,"true","2016-05-03 17:01:03.000",105.059061,11.186186,32.01,"3D",1,8,63,0,"Flying",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405577,"true","2016-05-03 17:31:04.000",105.059944,11.186044,32.73,"3D",1.1,7,64,0,"Natural",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405578,"true","2016-05-03 18:01:04.000",105.059875,11.186111,33.38,"3D",2.5,5,64,0,"Natural",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405579,"true","2016-05-03 18:31:05.000",105.059894,11.186078,33.9,"3D",1.5,6,65,0,"Natural",3410,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405580,"true","2016-05-03 19:01:05.000",105.059861,11.186011,33.31,"3D",1.1,7,65,0,"Natural",3410,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405581,"true","2016-05-03 19:31:03.000",105.059939,11.186006,32.79,"3D",1,7,63,0,"Natural",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405582,"true","2016-05-03 20:01:06.000",105.059919,11.185981,33.18,"3D",1.8,5,66,0,"Natural",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405583,"true","2016-05-03 20:31:03.000",105.058769,11.186467,32.53,"3D",2.4,5,63,0,"Flying",3410,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405584,"true","2016-05-03 21:01:14.000",105.058292,11.186781,32.6,"3D",3.1,5,74,0,"Flying",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405585,"true","2016-05-03 21:31:03.000",105.058872,11.185547,33.64,"3D",1,7,63,0,"Flying",3410,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405586,"true","2016-05-03 22:01:05.000",105.058611,11.186692,32.53,"3D",1.1,6,65,0,"Flying",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405587,"true","2016-05-03 22:31:05.000",105.061681,11.197061,32.14,"3D",1,7,65,0,"Roost",3410,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405588,"true","2016-05-03 23:01:04.000",105.061678,11.197078,34.29,"3D",1,7,64,0,"Roost",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405589,"true","2016-05-04 10:01:30.000",105.061733,11.197089,37.81,"3D",3.9,4,90,0,"Roost",3320,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405590,"true","2016-05-04 10:06:07.000",105.0617,11.197078,38.01,"3D",2.2,5,67,0,"Roost",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405591,"true","2016-05-04 10:11:08.000",105.061697,11.197056,38.07,"3D",2.1,5,68,0,"Roost",3410,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405592,"true","2016-05-04 10:16:06.000",105.061764,11.197106,37.94,"3D",2.1,5,66,0,"Roost",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405593,"true","2016-05-04 10:26:06.000",105.061678,11.197061,38.4,"3D",2,6,66,0,"Roost",3410,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405594,"true","2016-05-04 10:31:07.000",105.061672,11.197086,38.33,"3D",1.1,8,67,0,"Roost",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405595,"true","2016-05-04 10:36:10.000",105.061633,11.197103,38.66,"3D",1.1,8,70,0,"Roost",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405596,"true","2016-05-04 10:41:30.000",105.0617,11.197081,38.2,"3D",0.9,9,90,0,"Roost",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405597,"true","2016-05-04 10:46:09.000",105.061697,11.197064,38.07,"3D",1,8,69,0,"Roost",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405598,"true","2016-05-04 10:51:06.000",105.061731,11.197056,37.75,"3D",0.8,10,66,0,"Roost",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405599,"true","2016-05-04 10:56:03.000",105.061661,11.197081,37.42,"3D",0.8,10,63,0,"Roost",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405600,"true","2016-05-04 11:06:05.000",105.061694,11.197097,37.09,"3D",0.8,10,65,0,"Roost",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405601,"true","2016-05-04 11:11:08.000",105.061678,11.197064,36.9,"3D",0.8,10,68,0,"Roost",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405602,"true","2016-05-04 11:16:06.000",105.061678,11.197036,36.9,"3D",0.8,10,66,0,"Roost",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405603,"true","2016-05-04 11:21:09.000",105.061686,11.197072,36.83,"3D",0.9,9,69,0,"Roost",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405604,"true","2016-05-04 11:26:08.000",105.061678,11.197056,36.64,"3D",0.9,9,68,0,"Roost",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405605,"true","2016-05-04 11:31:09.000",105.061656,11.197028,36.51,"3D",1.5,6,69,0,"Roost",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405606,"true","2016-05-04 11:36:05.000",105.061714,11.197122,36.38,"3D",0.8,10,65,0,"Roost",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405607,"true","2016-05-04 11:41:04.000",105.061689,11.197061,36.25,"3D",0.8,10,64,0,"Roost",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405608,"true","2016-05-04 11:46:02.000",105.061331,11.196811,36.25,"3D",0.9,10,62,0,"Flying",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405609,"true","2016-05-04 11:51:05.000",105.057183,11.188778,35.79,"3D",0.8,11,65,0,"Flying",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405610,"true","2016-05-04 11:56:01.000",105.053747,11.170067,35.92,"3D",0.7,12,61,0,"Flying",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405611,"true","2016-05-04 12:01:04.000",105.052422,11.166731,35.86,"3D",0.7,12,64,0,"Flying",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405612,"true","2016-05-04 12:06:02.000",105.053208,11.166775,35.79,"3D",0.8,10,62,0,"Flying",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405613,"true","2016-05-04 12:11:05.000",105.053364,11.166356,35.59,"3D",0.8,11,65,0,"Plantation",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405614,"true","2016-05-04 12:16:03.000",105.053347,11.166394,35.53,"3D",0.8,10,63,0,"Plantation",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405615,"true","2016-05-04 12:21:02.000",105.053361,11.166378,35.4,"3D",0.9,9,62,0,"Plantation",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405616,"true","2016-05-04 12:26:03.000",105.053386,11.166386,35.33,"3D",0.8,10,63,0,"Plantation",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405617,"true","2016-05-04 12:31:05.000",105.053347,11.166397,35.2,"3D",0.8,10,65,0,"Plantation",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405618,"true","2016-05-04 12:36:05.000",105.052547,11.166653,35.14,"3D",0.8,10,65,0,"Plantation",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405619,"true","2016-05-04 12:41:04.000",105.052603,11.166622,35.59,"3D",0.9,9,64,0,"Plantation",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405620,"true","2016-05-04 12:46:02.000",105.052608,11.166622,35.66,"3D",0.9,9,62,0,"Plantation",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405621,"true","2016-05-04 12:51:03.000",105.052611,11.166619,35.92,"3D",0.9,8,63,0,"Plantation",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405622,"true","2016-05-04 12:56:05.000",105.052611,11.166639,36.12,"3D",0.9,9,65,0,"Plantation",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405623,"true","2016-05-04 13:01:06.000",105.052561,11.166764,36.18,"3D",0.9,9,66,0,"Plantation",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405624,"true","2016-05-04 13:06:05.000",105.052561,11.166628,36.18,"3D",0.9,9,65,0,"Plantation",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405625,"true","2016-05-04 13:11:05.000",105.052581,11.166675,36.18,"3D",0.9,9,65,0,"Plantation",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405626,"true","2016-05-04 13:16:06.000",105.052517,11.166558,35.72,"3D",0.9,9,66,0,"Plantation",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405627,"true","2016-05-04 13:21:04.000",105.052564,11.166694,35.4,"3D",1,8,64,0,"Plantation",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405628,"true","2016-05-04 13:26:02.000",105.052561,11.166619,35.53,"3D",0.9,9,62,0,"Plantation",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405629,"true","2016-05-04 13:31:01.000",105.049542,11.162253,35.07,"3D",0.9,9,61,0,"Flying",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405630,"true","2016-05-04 13:36:02.000",105.039097,11.148072,35.01,"3D",1,8,62,0,"Flying",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405631,"true","2016-05-04 13:41:02.000",105.022136,11.141022,35.4,"3D",1,8,62,0,"Flying",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405632,"true","2016-05-04 13:46:01.000",104.997481,11.151181,35.53,"3D",1,8,61,0,"Flying",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405633,"true","2016-05-04 13:51:01.000",104.971967,11.163339,35.59,"3D",1,8,61,0,"Flying",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405634,"true","2016-05-04 13:56:01.000",104.947794,11.174256,35.66,"3D",0.8,9,61,0,"Urban",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405635,"true","2016-05-04 14:01:01.000",104.947831,11.174244,35.01,"3D",0.8,9,61,0,"Urban",3320,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405636,"true","2016-05-04 14:06:04.000",104.947889,11.174269,35.27,"3D",0.9,8,64,0,"Urban",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405637,"true","2016-05-04 14:11:02.000",104.947872,11.174228,35.07,"3D",0.9,8,62,0,"Urban",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405638,"true","2016-05-04 14:16:05.000",104.947861,11.174228,34.88,"3D",0.9,8,65,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405639,"true","2016-05-04 14:21:02.000",104.934606,11.182964,34.81,"3D",0.9,8,62,0,"Flying",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405640,"true","2016-05-04 14:26:02.000",104.932806,11.18505,34.68,"3D",0.9,8,62,0,"Flying",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405641,"true","2016-05-04 14:31:01.000",104.922742,11.180897,34.23,"3D",0.9,8,61,0,"Flying",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405642,"true","2016-05-04 14:36:01.000",104.918286,11.178878,34.36,"3D",0.9,8,61,0,"Urban",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405643,"true","2016-05-04 14:41:05.000",104.918247,11.178831,34.42,"3D",0.9,8,65,0,"Urban",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405644,"true","2016-05-04 14:46:03.000",104.918272,11.178894,35.14,"3D",0.9,8,63,0,"Urban",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405645,"true","2016-05-04 14:51:05.000",104.918242,11.178881,35.14,"3D",0.9,9,65,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405646,"true","2016-05-04 14:56:04.000",104.918253,11.178853,35.33,"3D",0.9,9,64,0,"Urban",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405647,"true","2016-05-04 15:01:05.000",104.918264,11.178939,35.4,"3D",0.9,8,65,0,"Urban",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405648,"true","2016-05-04 15:06:05.000",104.918264,11.17895,35.33,"3D",0.9,8,65,0,"Urban",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405649,"true","2016-05-04 15:11:05.000",104.918206,11.17885,35.2,"3D",1,8,65,0,"Urban",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405650,"true","2016-05-04 15:16:02.000",104.918275,11.178858,35.14,"3D",1,8,62,0,"Urban",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405651,"true","2016-05-04 15:21:04.000",104.918269,11.178833,34.94,"3D",1,8,64,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405652,"true","2016-05-04 15:26:05.000",104.918272,11.178847,35.01,"3D",0.9,9,65,0,"Urban",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405653,"true","2016-05-04 15:31:03.000",104.918242,11.178922,35.01,"3D",0.9,9,63,0,"Urban",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405654,"true","2016-05-04 15:36:03.000",104.918256,11.178936,35.07,"3D",0.9,9,63,0,"Urban",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405655,"true","2016-05-04 15:41:02.000",104.918278,11.178894,35.01,"3D",1.3,9,62,0,"Urban",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405656,"true","2016-05-04 15:46:02.000",104.918256,11.178881,35.01,"3D",1.4,8,62,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405657,"true","2016-05-04 15:51:03.000",104.918289,11.178864,34.94,"3D",1.3,8,63,0,"Urban",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405658,"true","2016-05-04 15:56:05.000",104.918294,11.178811,34.81,"3D",1.1,9,65,0,"Urban",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405659,"true","2016-05-04 16:01:02.000",104.918261,11.178858,34.68,"3D",1.2,8,62,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405660,"true","2016-05-04 16:06:03.000",104.918225,11.178869,34.62,"3D",1.1,8,63,0,"Urban",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405661,"true","2016-05-04 16:11:03.000",104.918256,11.1789,34.36,"3D",1.1,8,63,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405662,"true","2016-05-04 16:16:01.000",104.918294,11.178864,34.62,"3D",1.1,7,61,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405663,"true","2016-05-04 16:21:05.000",104.918258,11.178917,34.68,"3D",1.1,7,65,0,"Urban",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405664,"true","2016-05-04 16:26:01.000",104.918256,11.178864,34.75,"3D",1,8,61,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405665,"true","2016-05-04 16:31:01.000",104.918286,11.178925,34.68,"3D",0.9,8,61,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405666,"true","2016-05-04 16:36:02.000",104.918247,11.178947,34.68,"3D",0.9,8,62,0,"Urban",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405667,"true","2016-05-04 16:41:03.000",104.918269,11.178931,34.68,"3D",0.8,10,63,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405668,"true","2016-05-04 16:46:02.000",104.918228,11.178889,34.68,"3D",0.8,9,62,0,"Urban",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405669,"true","2016-05-04 16:51:02.000",104.918256,11.178922,34.68,"3D",0.8,10,62,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405670,"true","2016-05-04 16:56:02.000",104.918244,11.178836,34.49,"3D",0.8,10,62,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405671,"true","2016-05-04 17:01:03.000",104.918289,11.178858,33.83,"3D",0.8,10,63,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405672,"true","2016-05-04 17:06:04.000",104.913961,11.177181,33.57,"3D",0.8,10,64,0,"Flying",3390,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405673,"true","2016-05-04 17:11:02.000",104.895981,11.170353,33.18,"3D",0.8,9,62,0,"Flying",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405674,"true","2016-05-04 17:16:01.000",104.878175,11.161117,33.25,"3D",0.8,9,61,0,"Flying",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405675,"true","2016-05-04 17:21:03.000",104.867161,11.160864,33.05,"3D",0.8,9,63,0,"Flying",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405676,"true","2016-05-04 17:26:05.000",104.866839,11.161189,33.31,"3D",0.8,9,65,0,"Flying",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405677,"true","2016-05-04 17:31:03.000",104.867039,11.160894,33.83,"3D",1,8,63,0,"Field",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405678,"true","2016-05-04 17:36:03.000",104.867183,11.160914,33.7,"3D",0.8,9,63,0,"Field",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405679,"true","2016-05-04 17:41:05.000",104.867178,11.160881,33.96,"3D",0.8,9,65,0,"Field",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405680,"true","2016-05-04 17:46:04.000",104.867158,11.16085,33.7,"3D",0.9,9,64,0,"Field",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405681,"true","2016-05-04 17:51:04.000",104.867156,11.160869,33.77,"3D",0.9,9,64,0,"Field",3340,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405682,"true","2016-05-04 17:56:03.000",104.866622,11.161272,33.31,"3D",0.9,9,63,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405683,"true","2016-05-04 18:01:04.000",104.866647,11.161194,34.16,"3D",0.9,9,64,0,"Urban",3360,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405684,"true","2016-05-04 18:06:07.000",104.853236,11.154444,32.66,"3D",0.9,8,67,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
9308405685,"true","2016-05-04 18:11:05.000",104.853169,11.154444,33.05,"3D",0.9,9,65,0,"Urban",3370,"gps","Pteropus lylei","Bat06","Bat06","Foraging movements of Lyle's flying foxes in Cambodia (data from Choden et al. 2019)"
